Date,Time,Open,High,Low,Close
26/07/2021,00:00,35381.02000000,42599.00000000,35205.78000000,39845.44000000
02/08/2021,00:00,39850.27000000,45310.00000000,37332.70000000,43794.37000000
09/08/2021,00:00,43794.36000000,48144.00000000,42779.00000000,46973.82000000
16/08/2021,00:00,46973.82000000,49757.04000000,43927.70000000,49239.22000000
23/08/2021,00:00,49239.22000000,50500.00000000,46250.00000000,48767.83000000
30/08/2021,00:00,48767.84000000,51900.00000000,46512.00000000,51756.88000000
06/09/2021,00:00,51756.88000000,52920.00000000,42843.05000000,46025.24000000
13/09/2021,00:00,46025.23000000,48843.20000000,43370.00000000,47241.75000000
20/09/2021,00:00,47241.75000000,47347.25000000,39600.00000000,43160.90000000
27/09/2021,00:00,43160.90000000,49228.08000000,40753.88000000,48200.01000000
04/10/2021,00:00,48200.01000000,56561.31000000,46891.00000000,54659.00000000
11/10/2021,00:00,54659.01000000,62933.00000000,53879.00000000,61528.33000000
18/10/2021,00:00,61528.32000000,67000.00000000,59510.63000000,60852.22000000
25/10/2021,00:00,60852.22000000,63710.63000000,57820.00000000,61299.80000000
01/11/2021,00:00,61299.81000000,64270.00000000,59405.00000000,63273.59000000
08/11/2021,00:00,63273.58000000,69000.00000000,62278.00000000,65519.10000000
15/11/2021,00:00,65519.11000000,66401.82000000,55600.00000000,58622.02000000
22/11/2021,00:00,58617.70000000,59444.00000000,53256.64000000,57274.88000000
29/11/2021,00:00,57274.89000000,59176.99000000,42000.30000000,49396.33000000
06/12/2021,00:00,49396.32000000,51936.33000000,46751.00000000,50053.90000000
13/12/2021,00:00,50053.90000000,50189.97000000,45456.00000000,46681.23000000
20/12/2021,00:00,46681.24000000,51810.00000000,45558.85000000,50775.49000000
27/12/2021,00:00,50775.48000000,52088.00000000,45678.00000000,47286.18000000
03/01/2022,00:00,47286.18000000,47570.00000000,40501.00000000,41864.62000000
10/01/2022,00:00,41864.62000000,44500.00000000,39650.00000000,43071.66000000
17/01/2022,00:00,43071.66000000,43505.00000000,34008.00000000,36244.55000000
24/01/2022,00:00,36244.55000000,38919.98000000,32917.17000000,37881.76000000
31/01/2022,00:00,37881.75000000,42656.00000000,36250.00000000,42380.87000000
07/02/2022,00:00,42380.87000000,45821.00000000,41645.85000000,42053.66000000
14/02/2022,00:00,42053.65000000,44751.40000000,38000.00000000,38386.89000000
21/02/2022,00:00,38386.89000000,40348.45000000,34322.28000000,37699.07000000
28/02/2022,00:00,37699.08000000,45400.00000000,37450.17000000,38420.81000000
07/03/2022,00:00,38420.80000000,42594.06000000,37155.00000000,37777.34000000
14/03/2022,00:00,37777.35000000,42400.00000000,37555.00000000,41262.11000000
21/03/2022,00:00,41262.11000000,46999.00000000,40467.94000000,46827.76000000
28/03/2022,00:00,46827.76000000,48189.84000000,44200.00000000,46407.35000000
04/04/2022,00:00,46407.36000000,47200.00000000,41868.00000000,42158.85000000
11/04/2022,00:00,42158.85000000,42414.71000000,39200.00000000,39678.12000000
18/04/2022,00:00,39678.11000000,42976.00000000,38536.51000000,39450.13000000
25/04/2022,00:00,39450.12000000,40797.31000000,37386.38000000,38468.35000000
02/05/2022,00:00,38468.35000000,40023.77000000,33713.95000000,34038.40000000
09/05/2022,00:00,34038.39000000,34243.15000000,26700.00000000,31328.89000000
16/05/2022,00:00,31328.89000000,31328.90000000,28654.47000000,30293.94000000
23/05/2022,00:00,30293.93000000,30670.51000000,28019.56000000,29468.10000000
30/05/2022,00:00,29468.10000000,32399.00000000,29282.36000000,29919.21000000
06/06/2022,00:00,29919.20000000,31765.64000000,26560.00000000,26574.53000000
13/06/2022,00:00,26574.53000000,26895.84000000,17622.00000000,20574.00000000
20/06/2022,00:00,20574.00000000,21888.00000000,19637.03000000,21038.07000000
27/06/2022,00:00,21038.08000000,21539.85000000,18626.00000000,19315.83000000
04/07/2022,00:00,19315.83000000,22527.37000000,19055.31000000,20862.47000000
11/07/2022,00:00,20861.11000000,21684.54000000,18910.94000000,20798.16000000
18/07/2022,00:00,20799.58000000,24276.74000000,20762.45000000,22579.68000000
25/07/2022,00:00,22577.13000000,24668.00000000,20706.50000000,23293.32000000
01/08/2022,00:00,23296.36000000,23647.68000000,22400.00000000,23174.39000000
08/08/2022,00:00,23174.39000000,25047.56000000,22664.69000000,24305.24000000
15/08/2022,00:00,24305.25000000,25211.32000000,20761.90000000,21515.61000000
